หมวด 1 : ด้านอาหาร
1 ฉันไม่กินผักเลย,ฉันกินผักทุกวัน
2 ฉันไม่ค่อยกินผลไม้,ฉันกินผลไม้เป็นประจำ
3 ฉันดื่มน้ำหวานหรือน้ำอัดลมเป็นประจำ,ฉันหลีกเลี่ยงเครื่องดื่มที่มีน้ำตาล
4 ฉันมักกินของทอดและฟาสต์ฟู้ด,ฉันเลี่ยงของทอดและอาหารแปรรูป
5 ฉันไม่ควบคุมปริมาณอาหารที่กินเลย,ฉันควบคุมปริมาณอาหารอย่างเหมาะสม
6 ฉันไม่กินอาหารเช้า,ฉันกินอาหารเช้าทุกวัน
7 ฉันมักกินมื้อดึก,ฉันหลีกเลี่ยงการกินหลัง 2 ทุ่ม
8 ฉันไม่ดื่มน้ำเปล่าเพียงพอ,ฉันดื่มน้ำวันละอย่างน้อย 6–8 แก้ว
9 ฉันกินขนมจุกจิกหรือของหวานตลอดวัน,ฉันไม่กินของหวานหรือขนมจุกจิกระหว่างมื้อ
10 ฉันกินเค็มมาก (อาหารหมักดอง/รสจัด),ฉันหลีกเลี่ยงอาหารรสจัด
11 ฉันเลือกอาหารจากรสชาติเท่านั้น,ฉันเลือกอาหารจากคุณค่าทางโภชนาการ
12 ฉันไม่อ่านฉลากโภชนาการเลย,ฉันอ่านฉลากโภชนาการก่อนซื้ออาหาร
13 ฉันกินอาหารซ้ำๆ ขาดความหลากหลาย,ฉันกินอาหารหลากหลายครบ 5 หมู่
14 ฉันกินตามใจโดยไม่วางแผนเลย,ฉันวางแผนมื้ออาหารล่วงหน้าอย่างสม่ำเสมอ
15 ฉันมักกินเร็วหรือรีบกิน,ฉันกินอย่างช้าๆ และเคี้ยวให้ละเอียด
16 ฉันมักลืมเวลาในการกินอาหาร,ฉันมีเวลามื้ออาหารที่คงที่ทุกวัน
หมวด 2 : การพักผ่อน
1 ฉันนอนน้อยกว่า 5 ชั่วโมงต่อคืน,ฉันนอนมากกว่า 8 ชั่วโมงต่อคืน
2 ฉันใช้เวลานานกว่า 30 นาทีในการหลับ,ฉันหลับภายใน 10 นาที
3 ฉันตื่นมาไม่สดชื่นเลย,ฉันรู้สึกสดชื่นเสมอหลังตื่นนอน
4 ฉันตื่นกลางดึกบ่อยมาก,ฉันนอนหลับต่อเนื่องตลอดคืน
5 ฉันตื่นสายและเพลียตอนเช้าเป็นประจำ,ฉันตื่นตามเวลาเเละสดชื่นทุกเช้า
6 ฉันรู้สึกง่วงหลับระหว่างวันเป็นประจำ,ฉันไม่เคยง่วงตอนกลางวัน
7 เวลานอนของฉันไม่แน่นอนเลย,ฉันนอน-ตื่นตรงเวลาทุกวัน
8 ก่อนนอนฉันเล่นมือถือหรือดูจอเป็นเวลานาน,ฉันไม่ใช้หน้าจอก่อนนอนเลย
9 ห้องนอนของฉันไม่เหมาะกับการนอน (มีเสียง/มีแสง/ร้อน),ห้องนอนฉันมืด เงียบ เย็น
11 ฉันดื่มคาเฟอีนช่วงเย็น/ก่อนนอนทุกวัน,ฉันไม่ดื่มคาเฟอีนเลยหลังบ่าย
12 ฉันงีบกลางวันนานหรือหลายครั้ง,ฉันไม่งีบเลย
13 ฉันไม่มีตารางเวลานอนที่ชัดเจน,ฉันมีตารางเวลานอนสม่ำเสมอ
14 ฉันรู้สึกพักผ่อนไม่เพียงพอทุกวัน,ฉันรู้สึกพักผ่อนเพียงพอทุกวัน
หมวด 3 : การออกกำลังกาย
1 ฉันไม่ออกกำลังกายเลย,ฉันออกกำลังกาย ≥5 วัน/สัปดาห์
2 ฉันออกกำลังกายแต่ละครั้งน้อยกว่า 10 นาที,ฉันออกกำลังกายครั้งละ >60 นาที
3 ฉันไม่เดินเร็วหรือวิ่งกำลังกายเลย,ฉันเดิน/วิ่งออกกำลังกายทุกวัน ≥60 นาที
4 ฉันไม่ทำงานบ้านหรือเคลื่อนไหวเลย,ฉันขยับร่างกายระหว่างวันบ่อย
5 ฉันนั่งนานหลายชั่วโมงโดยไม่ลุก,ฉันลุกเดินทุก 30 นาที
6 ฉันไม่เคยออกกำลังกายกับผู้อื่น,ฉันมีกิจกรรมกลุ่ม ≥3 ครั้ง/สัปดาห์
7 ฉันเหนื่อยง่ายมากเมื่อทำกิจกรรม,ฉันทำกิจกรรมต่างๆ ได้โดยไม่เหนื่อย
8 ฉันไม่มีความสม่ำเสมอในการออกกำลังกาย,ฉันออกกำลังกายทุกสัปดาห์
9 ฉันใช้เวลาว่างนั่งเฉยตลอด (ดูมือถือ/ซีรีส์),ฉันมีกิจกรรมที่เคลื่อนไหวร่างกายสม่ำเสมอ
10 ฉันใช้มอเตอร์ไซ์/รถยนต์ในการเดินทางไปที่ใกล้ๆ,ฉันเดินแทนการใช้พาหนะบ่อยๆ
